Japanese,Pronunciation + Vietnamese Translation,Tags
きた,kita - phía Bắc,Directions
ひがし,higashi - phía Đông,Directions
みなみ,minami - phía Nam,Directions
にし,nishi - phía Tây,Directions
くるま,kuruma - ô tô, xe hơi,Transportation
ひこうき,hikouki - máy bay,Transportation
しんかんせん,shinkansen - tàu cao tốc,Transportation
でんしゃ,densha - tàu điện,Transportation
まち,machi - thành phố,Places
えき,eki - nhà ga,Places
あるいて,aruite - đi bộ,Actions
どのくらい/どのぐらい,donokurai/donogurai - bao lâu,Time
おんせん,onsen - suối nước nóng,Places
かわ,kawa - sông,Nature
やま,yama - núi,Nature
きょうかい,kyoukai - nhà thờ,Places
おしろ,oshiro - lâu đài, thành,Places
じんじゃ,jinja - đền thờ,Places
おてら,otera - chùa,Places
ビル,biru - tòa nhà,Places
ところ,tokoro - nơi chốn,Places
ひと,hito - người,People
みどり,midori - màu xanh lá cây,Colors
あります,arimasu - có (sở hữu),Verbs
あたらしい,atarashii - mới,Adjectives
ふるい,furui - cũ,Adjectives
いい,ii - tốt,Adjectives
おおい,ooi - nhiều,Adjectives
すくない,sukunai - ít,Adjectives
おおきい,ookii - to lớn,Adjectives
ちいさい,chiisai - nhỏ, bé,Adjectives
たかい,takai - cao, đắt,Adjectives
ひくい,hikui - thấp,Adjectives
きれい（な）,kirei (na) - đẹp, sạch sẽ,Adjectives
しずか (な),shizuka (na) - yên tĩnh,Adjectives
にぎやか (な),Nigiyaka (na) - náo nhiệt,Adjectives
ゆうめい (な),yuumei (na) - nổi tiếng,Adjectives
どんな N,donna N - N như thế nào?,Question Words
そして,soshite - và,Conjunctions
あめ,ame - mưa,Nature
ゆき,yuki - tuyết,Nature
ひ,hi - ngày/mặt trời,Nature
メロン,meron - dưa gang (dưa lưới),Food
Japanese,Pronunciation + Vietnamese Translation,Tags
あたたかい,atatakai - ấm áp (thời tiết),Weather
すずしい,suzushii - mát ẻ,Weather
あつい,astui - nóng bức (thời tiết),Weather
さむい,samui - Lạnh, rét (thời tiết),Weather
あたたかい,atatakai - ấm (nhiệt độ, cảm giác),Temperature
あつい,astui - nóng (nhiệt độ),Temperature
てんきがいい,tenkigaii - thời tiết đẹp,Weather
てんきがわるい,tenkigawarui - thời tiết xấu,Weather
つめたい,tsumetai - lạnh, buốt (nhiệt độ, cảm giác),Temperature
おいしい,oishii - ngon,Taste
あまい,amai - ngọt,Taste
からい,karai - cay,Taste
たがい,tagai - đắng,Taste
すっぱい,suppai - chua,Taste
いちねんじゅう,ichinenjuu - suốt 1 năm,Time
あまり,amari - không ~ lắm,Adverbs
すこし,sukoshi - một chút, một ít,Adverbs
とても,totemo - rất,Adverbs
おととい,ototoi - hôm kia,Time
きのう,kinou - hôm qua,Time
